id,nama_ekspedisi,nomor_penjelajahan,banyak_siklus,total_jarak_tempuh,wilayah_eksplorasi,jenis_medan,orientasi_rute,total_jarak_tempuh_satu_siklus,banyak_titik_navigasi,radius_planet_penjelajahan,koordinat_X_lapangan,koordinat_Y_lapangan,koordinat_Z_lapangan,planet_eksplorasi,sektor_planet_eksplorasi,nama_penjelajah,umur_biometrik_penjelajah,planet_lahir,sektor_planet_lahir,planet_kewarganegaraan,sektor_kewarganegaraan,tim_penjelajah,planet_tim_penjelajah,sektor_tim_penjelajah,tim_mesin,planet_tim_mesin,cluster_tim_mesin,waktu_simulasi_alpha,siklus_simulasi_alpha,waktu_simulasi_beta,siklus_simulasi_beta,waktu_simulasi_gamma,siklus_simulasi_gamma,waktu_uji_lingkungan_A,waktu_uji_lingkungan_B,waktu_uji_lingkungan_C,total_siklus_uji,delay_peluncuran,offset_delay_peluncuran,urutan_awal_sebelum_delay,urutan_peluncuran_akhir,siklus_demonstrasi_lapangan,waktu_demonstrasi_lapangan,waktu_kalibrasi_lapangan_A,waktu_kalibrasi_lapangan_B,waktu_kalibrasi_lapangan_C,siklus_kalibrasi_lapangan,durasi_misi_diselesaikan,jumlah_isi_bensin_selama_misi,peringkat_durasi_misi_tercepat,penghargaan_misi
11,Aurora Expedition,1,1078,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Thomas Edison,2762.0,Altair,Southern Spiral Arm,Altair,Southern Spiral Arm,Andromeda Research Unit,Andros,Central Celestial Belt,Oblivion Robotics,Andros,Central Celestial Belt,1:10:44.082,242,1:09:56.561,462,1:09:13.935,330,1:09:03.574,1:08:40.742,,264,,,11.0,11.0,,,,,,,54d 19:05:50.896,1.0,10.0,Bronze
12,Aurora Expedition,1,1078,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Alexander the Great,2162.0,Hyperion,Central Celestial Belt,Hyperion,Central Celestial Belt,Aurora Division,Astralis,Galactic East Sector,Lunaris Command,Titanis,Central Celestial Belt,1:09:47.343,418,1:10:10.174,638,1:08:44.387,242,1:08:51.390,1:08:52.283,,286,,,12.0,12.0,,,,,,,54d 17:01:38.264,1.0,9.0,Bronze
13,Aurora Expedition,1,1056,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Voltaire,1649.0,Titanis,Central Celestial Belt,Titanis,Central Celestial Belt,Andromeda Research Unit,Andros,Central Celestial Belt,Oblivion Robotics,Andros,Central Celestial Belt,1:10:12.354,440,1:09:22.582,572,1:08:45.423,286,1:09:18.080,1:08:59.572,,308,,,13.0,13.0,,,,,,,,2.0,14.0,Merit
14,Aurora Expedition,1,616,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Christopher Columbus,2853.0,Solara,Central Celestial Belt,Solara,Central Celestial Belt,Ecliptica Consortium,Aurelia,Central Celestial Belt,Solaris Vanguard,Hyperion,Central Celestial Belt,1:11:36.534,396,1:09:49.522,528,1:09:06.932,308,1:09:19.974,1:09:13.149,,286,,,14.0,14.0,,,,,,,,1.0,,Mission Incomplete
15,Aurora Expedition,1,1012,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Marco Polo,1561.0,Aurelia,Central Celestial Belt,Aurelia,Central Celestial Belt,Crimson Nova Fleet,Hyperion,Central Celestial Belt,Solaris Vanguard,Hyperion,Central Celestial Belt,1:10:30.397,286,,22,1:09:15.222,374,1:09:11.434,1:09:14.150,,308,,,15.0,15.0,,,,,,,,1.0,16.0,Merit
16,Aurora Expedition,1,242,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Socrates,1717.0,Nebiros,Galactic East Sector,Nebiros,Galactic East Sector,Ecliptica Consortium,Aurelia,Central Celestial Belt,Solaris Vanguard,Hyperion,Central Celestial Belt,1:12:17.195,242,1:09:52.988,594,1:09:23.618,308,1:09:24.011,1:09:14.328,,286,,,16.0,16.0,,,,,,,,0.0,,Mission Incomplete
17,Aurora Expedition,1,286,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Ferdinand Magellan,1864.0,Polaris Rim,Central Celestial Belt,Polaris Rim,Central Celestial Belt,Helion Systems,Aurion,Central Celestial Belt,Helion Systems,Aurion,Central Celestial Belt,1:10:47.584,286,1:09:31.479,572,1:09:33.658,352,1:09:10.648,1:09:26.798,,308,,,17.0,17.0,,,,,,,,0.0,,Mission Incomplete
18,Aurora Expedition,1,1078,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Immanuel Kant,1459.0,Solara,Central Celestial Belt,Solara,Central Celestial Belt,Crimson Nova Fleet,Hyperion,Central Celestial Belt,Solaris Vanguard,Hyperion,Central Celestial Belt,1:10:06.208,396,1:11:20.420,682,1:09:22.689,352,1:09:42.948,,,132,,,18.0,18.0,,,,,,,55d 01:41:03.992,2.0,13.0,Merit
19,Aurora Expedition,1,352,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Louis Pasteur,2045.0,Titanis,Central Celestial Belt,Titanis,Central Celestial Belt,Virelia Ascension,Andros,Central Celestial Belt,Oblivion Robotics,Andros,Central Celestial Belt,1:13:39.088,176,1:12:40.383,66,1:10:58.053,220,1:11:17.883,,,154,,,19.0,19.0,,,,,,,,0.0,,Mission Incomplete
20,Aurora Expedition,1,1012,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Guglielmo Marconi,2606.0,Hyperion,Central Celestial Belt,Hyperion,Central Celestial Belt,Seraphis Engineering,Zephyra,Galactic East Sector,Oblivion Robotics,Andros,Central Celestial Belt,1:13:49.449,330,1:12:02.974,308,1:12:12.585,110,1:11:22.313,,,132,,,20.0,20.0,,,,,,,,1.0,17.0,Merit
21,Aurora Expedition,1,1034,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Alfred Nobel,2075.0,Frosthelm,Central Celestial Belt,Frosthelm,Central Celestial Belt,Seraphis Engineering,Zephyra,Galactic East Sector,Oblivion Robotics,Andros,Central Celestial Belt,1:13:45.090,462,1:11:58.794,506,1:11:20.062,330,1:11:38.785,,,154,,,21.0,21.0,,,,,,,,1.0,15.0,Merit
22,Aurora Expedition,1,44,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Niels Bohr,1869.0,Altair,Southern Spiral Arm,Altair,Southern Spiral Arm,Virelia Ascension,Andros,Central Celestial Belt,Oblivion Robotics,Andros,Central Celestial Belt,,44,1:12:45.779,462,,44,1:11:48.575,,,154,,,22.0,22.0,,,,,,,,0.0,,Mission Incomplete
23,Aurora Expedition,1,374,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Charles Dickens,1929.0,Altair,Southern Spiral Arm,Altair,Southern Spiral Arm,Nexus Frontier Labs,Solara,Central Celestial Belt,Oblivion Robotics,Andros,Central Celestial Belt,,66,1:15:36.568,374,1:13:50.557,242,1:13:23.366,,,132,,,23.0,,,,,,,,,1.0,,Mission Incomplete
24,Aurora Expedition,1,22,242424.93327249965,Astra Dune Expanse,Planetary Surface,Prograde,193.3708389456556,525,18025.428146201124,10300.041679020896,12499.640987230927,7911.016145516883,Virelia,Galactic East Sector,Plato,1910.0,Astralis,Galactic East Sector,Astralis,Galactic East Sector,Nexus Frontier Labs,Solara,Central Celestial Belt,Oblivion Robotics,Andros,Central Celestial Belt,,,,,,,1:14:22.821,,,154,,,24.0,,,,,,,,,0.0,,Mission Incomplete
25,Aurora Expedition,2,675,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Leonardo da Vinci,1661.0,Titanis,Central Celestial Belt,Titanis,Central Celestial Belt,Aetherion Initiative,Crimson Verge,Central Celestial Belt,Helion Systems,Aurion,Central Celestial Belt,31:54.841,621,32:26.462,513,30:58.850,513,30:51.250,30:36.445,30:32.579,513,,,1.0,1.0,,,,,,,,1.0,,Mission Incomplete
26,Aurora Expedition,2,1566,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Julius Caesar,2453.0,Auralis,Southern Star Cluster,Auralis,Southern Star Cluster,Aetherion Initiative,Crimson Verge,Central Celestial Belt,Helion Systems,Aurion,Central Celestial Belt,32:16.613,594,31:23.439,594,30:50.049,432,31:02.431,30:40.375,30:35.113,540,,,2.0,2.0,,,,,,,38d 18:54:26.703,3.0,9.0,Bronze
27,Aurora Expedition,2,1566,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Nikola Tesla,2094.0,Solara,Central Celestial Belt,Solara,Central Celestial Belt,Solaris Vanguard,Hyperion,Central Celestial Belt,Solaris Vanguard,Hyperion,Central Celestial Belt,31:56.173,567,32:24.082,540,30:54.635,513,30:57.976,30:41.664,30:36.772,594,,,3.0,3.0,,,,,,,38d 10:33:07.650,1.0,4.0,Bronze
28,Aurora Expedition,2,1566,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Benjamin Franklin,2205.0,Andros,Central Celestial Belt,Andros,Central Celestial Belt,Orion Dynamics,Andros,Central Celestial Belt,Lunaris Command,Titanis,Central Celestial Belt,31:50.386,594,31:19.683,432,31:04.899,540,30:53.936,30:45.944,30:49.089,513,,,4.0,4.0,,,,,,,38d 07:52:54.597,1.0,1.0,Gold
29,Aurora Expedition,2,1566,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Isaac Newton,2113.0,Altair,Southern Spiral Arm,Altair,Southern Spiral Arm,Solaris Vanguard,Hyperion,Central Celestial Belt,Solaris Vanguard,Hyperion,Central Celestial Belt,31:51.020,486,32:36.442,567,31:08.175,540,31:08.153,30:56.404,30:52.626,648,,,5.0,5.0,,,,,,,38d 10:15:16.911,1.0,3.0,Silver
30,Aurora Expedition,2,1566,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Charles Darwin,1808.0,Titanis,Central Celestial Belt,Titanis,Central Celestial Belt,Lunaris Command,Titanis,Central Celestial Belt,Lunaris Command,Titanis,Central Celestial Belt,31:42.612,486,31:38.900,594,31:04.178,432,30:51.556,30:51.556,30:53.653,702,,,6.0,6.0,,,,,,,38d 10:36:51.102,2.0,5.0,Bronze
31,Aurora Expedition,2,1566,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Napoleon Bonaparte,3012.0,Titanis,Central Celestial Belt,Titanis,Central Celestial Belt,Lunaris Command,Titanis,Central Celestial Belt,Lunaris Command,Titanis,Central Celestial Belt,32:13.709,513,31:29.182,432,30:55.378,459,31:03.851,30:53.369,30:54.592,648,,,7.0,7.0,,,,,,,38d 19:14:48.372,3.0,10.0,Bronze
32,Aurora Expedition,2,1566,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Thomas Edison,2765.0,Altair,Southern Spiral Arm,Altair,Southern Spiral Arm,Andromeda Research Unit,Andros,Central Celestial Belt,Oblivion Robotics,Andros,Central Celestial Belt,32:39.084,486,31:37.764,675,31:14.791,459,31:11.516,30:58.042,31:00.924,540,,,8.0,8.0,,,,,,,38d 17:47:47.355,2.0,8.0,Bronze
33,Aurora Expedition,2,1566,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Archimedes,1848.0,Draconis,Central Celestial Belt,Draconis,Central Celestial Belt,Helion Systems,Aurion,Central Celestial Belt,Helion Systems,Aurion,Central Celestial Belt,31:38.267,594,31:42.219,756,31:22.041,567,31:09.026,30:58.850,31:04.309,621,,,9.0,9.0,,,,,,,38d 09:51:10.008,1.0,2.0,Silver
34,Aurora Expedition,2,243,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Johannes Kepler,1988.0,Titanis,Central Celestial Belt,Titanis,Central Celestial Belt,Aurora Division,Astralis,Galactic East Sector,Lunaris Command,Titanis,Central Celestial Belt,,,31:36.236,594,31:07.650,486,31:07.192,30:57.190,31:18.809,648,,,10.0,10.0,,,,,,,,0.0,,Mission Incomplete
35,Aurora Expedition,2,1566,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Albert Einstein,1842.0,Andros,Central Celestial Belt,Andros,Central Celestial Belt,Orion Dynamics,Andros,Central Celestial Belt,Lunaris Command,Titanis,Central Celestial Belt,31:57.178,594,31:13.678,351,31:07.214,378,30:57.190,31:00.204,,351,,,11.0,11.0,,,,,,,38d 12:46:42.843,2.0,6.0,Bronze
36,Aurora Expedition,2,0,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Marco Polo,1564.0,Aurelia,Central Celestial Belt,Aurelia,Central Celestial Belt,Crimson Nova Fleet,Hyperion,Central Celestial Belt,Solaris Vanguard,Hyperion,Central Celestial Belt,32:02.004,567,31:36.192,783,31:20.294,567,31:19.355,31:10.118,,459,,,12.0,12.0,,,,,,,,0.0,,Mission Incomplete
37,Aurora Expedition,2,1566,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Alexander the Great,2165.0,Hyperion,Central Celestial Belt,Hyperion,Central Celestial Belt,Aurora Division,Astralis,Galactic East Sector,Lunaris Command,Titanis,Central Celestial Belt,32:05.891,486,31:36.258,459,31:13.263,513,31:21.736,31:12.411,,513,,,13.0,13.0,,,,,,,38d 17:41:01.113,1.0,7.0,Bronze
38,Aurora Expedition,2,1566,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Christopher Columbus,2855.0,Solara,Central Celestial Belt,Solara,Central Celestial Belt,Ecliptica Consortium,Aurelia,Central Celestial Belt,Solaris Vanguard,Hyperion,Central Celestial Belt,32:33.690,351,31:42.219,675,31:35.886,486,31:19.967,31:12.498,,405,,,14.0,14.0,,,,,,,38d 20:00:55.440,1.0,12.0,Merit
39,Aurora Expedition,2,0,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Voltaire,1651.0,Titanis,Central Celestial Belt,Titanis,Central Celestial Belt,Andromeda Research Unit,Andros,Central Celestial Belt,Oblivion Robotics,Andros,Central Celestial Belt,32:50.811,702,31:51.762,675,31:35.581,513,31:15.097,31:12.520,,459,,,15.0,15.0,,,,,,,,0.0,,Mission Incomplete
40,Aurora Expedition,2,0,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Socrates,1719.0,Nebiros,Galactic East Sector,Nebiros,Galactic East Sector,Ecliptica Consortium,Aurelia,Central Celestial Belt,Solaris Vanguard,Hyperion,Central Celestial Belt,33:20.051,135,31:49.797,621,31:24.029,567,31:23.504,31:13.153,,432,,,16.0,16.0,,,,,,,,0.0,,Mission Incomplete
41,Aurora Expedition,2,1566,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Immanuel Kant,1462.0,Solara,Central Celestial Belt,Solara,Central Celestial Belt,Crimson Nova Fleet,Hyperion,Central Celestial Belt,Solaris Vanguard,Hyperion,Central Celestial Belt,32:14.189,567,32:56.510,1161,31:26.059,459,31:20.098,31:19.967,,432,,,17.0,17.0,,,,,,,38d 19:33:34.542,2.0,11.0,Merit
42,Aurora Expedition,2,243,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Ferdinand Magellan,1866.0,Polaris Rim,Central Celestial Belt,Polaris Rim,Central Celestial Belt,Helion Systems,Aurion,Central Celestial Belt,Helion Systems,Aurion,Central Celestial Belt,32:04.188,675,31:34.008,702,31:32.458,513,31:28.309,,,270,,,18.0,18.0,,,,,,,,1.0,,Mission Incomplete
43,Aurora Expedition,2,1512,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Alfred Nobel,2077.0,Frosthelm,Central Celestial Belt,Frosthelm,Central Celestial Belt,Seraphis Engineering,Zephyra,Galactic East Sector,Oblivion Robotics,Andros,Central Celestial Belt,33:21.492,702,32:42.316,405,32:35.306,513,32:19.103,,,243,,,19.0,19.0,,,,,,,,1.0,13.0,Merit
44,Aurora Expedition,2,,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Guglielmo Marconi,2608.0,Hyperion,Central Celestial Belt,Hyperion,Central Celestial Belt,Seraphis Engineering,Zephyra,Galactic East Sector,Oblivion Robotics,Andros,Central Celestial Belt,33:21.449,351,33:00.550,459,32:41.006,432,32:25.960,,,216,,,20.0,20.0,,,,,,,,0.0,,Mission Incomplete
45,Aurora Expedition,2,108,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Charles Dickens,1932.0,Altair,Southern Spiral Arm,Altair,Southern Spiral Arm,Nexus Frontier Labs,Solara,Central Celestial Belt,Oblivion Robotics,Andros,Central Celestial Belt,33:59.642,648,,,35:10.571,216,32:56.860,,,270,,,23.0,21.0,,,,,,,,0.0,,Mission Incomplete
46,Aurora Expedition,2,1431,181349.35115909734,New Terra Colony,Urban Expanse,Prograde,115.2582462441096,294,22320.869214572056,-14432.020788647882,10117.301628556268,-13695.918596679765,Auralis,Southern Star Cluster,Plato,1913.0,Astralis,Galactic East Sector,Astralis,Galactic East Sector,Nexus Frontier Labs,Solara,Central Celestial Belt,Oblivion Robotics,Andros,Central Celestial Belt,34:18.204,513,,27,34:20.017,297,32:58.760,,,270,,,24.0,22.0,,,,,,,,2.0,14.0,Merit
